city,local,total_price,unit_price,layout,area,floor,time,title
苏州,昆山,173,10035,3室1厅,172.4,48,2021-03-18,世茂蝶湖湾 3室1厅 南 北
北京,朝阳,645,75731,2室1厅,85.17,6,2020-09-20,首开常青藤四期 精装两居 南北通透 电梯洋房
苏州,工业园区,120,28170,1室1厅,42.6,4,2021-03-21,淞泽家园九区 通透一房 业主诚心出售 视野好 位置好
苏州,相城,172,21492,2室1厅,80.03,30,2021-03-24,庆元家园，地铁2号线，交通方便，元和板块
苏州,昆山,180,20738,3室1厅,86.8,30,2021-03-28,花桥裕花园 3室1厅 南
北京,昌平,590,68043,2室1厅,86.71,11,2021-03-18,电梯两居室，高楼层，视野采光好，看房方便
苏州,昆山,400,21425,4室2厅,186.7,7,2021-03-25,小饶推荐绿地21城电梯花园洋房，顶层复式，精装修
苏州,昆山,150,14923,2室2厅,100.52,7,2021-02-23,此房满2年，南北通透，精装修，楼层采光好
苏州,昆山,202,21843,4室2厅,92.48,34,2021-03-28,花桥新城区 万科品质大宅 精装修一线江景房
苏州,昆山,173,17788,2室2厅,97.26,31,2021-04-02,全南户型 阳光明媚 期待您的入住
苏州,吴中,233,29520,2室1厅,78.93,35,2021-03-25,楼层位置好，采光无遮挡，业主急售
苏州,吴江,197,22670,3室1厅,86.9,31,2021-03-28,新湖明珠城聆湖苑 3室1厅 南
北京,石景山,216,37625,2室1厅,57.41,6,2021-04-01,广宁村 2室1厅 南 北
北京,朝阳,480,78831,2室1厅,60.89,6,2021-03-30,静安东里南北通透双阳台大客厅满五年唯一两居
苏州,高新,300,34463,3室2厅,87.05,23,2021-03-23,鑫苑国际南区，楼层位置好，南北通风正3房，随时看房
苏州,昆山,75,12932,2室1厅,58,10,2021-03-19,凤栖园小区 2室1厅 南
苏州,工业园区,355,46859,2室2厅,75.76,24,2020-11-11,自由水岸 两房精装保养好 采光好 诚意售 随时看房
苏州,工业园区,238,27432,2室2厅,86.76,18,2021-03-08,此房满五年  精装修     中间楼层
苏州,相城,225.4,22879,3室2厅,98.52,24,2021-03-21,新上 融城花园拎包入住 采光无影响 轻轨繁花 全新装修
北京,昌平,460,46526,2室1厅,98.87,6,2021-04-02,商品房满五唯一 不临街一层精装修两居室
