学号,院系,专业,班级,性别,年级,B1,B2,G1,G2,G3,G,班级排名,院系排名
176302110,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.5776,0.05,4.0,3.6276,4.0,3.77656,1,1
176302118,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.5714,0.05,4.0,3.6214,4.0,3.77284,2,2
176302102,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.5673,0.05,4.0,3.6173,4.0,3.77038,3,3
176302140,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.5633,0.05,4.0,3.6133,4.0,3.76798,4,4
176302107,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.5633,0.05,4.0,3.6133,4.0,3.76798,4,4
176302101,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.4714,0.05,4.0,3.5214,4.0,3.71284,6,9
176302111,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.551,0.05,4.0,3.601,3.7,3.7006,7,6
176302121,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.498,0.05,4.0,3.548,3.7,3.6688,8,8
156304138,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.4,0.0375,4.0,3.4375,3.7,3.6025,9,13
176302109,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3939,0.05,4.0,3.4439,3.3,3.52634,10,12
176302139,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.1184,0.05,4.0,3.1684,3.7,3.44104,11,31
176302142,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.0163,0.05,4.0,3.0663,4.0,3.43978,12,35
176302141,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.0571,0.05,4.0,3.1071,3.7,3.40426,13,32
176302147,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.202,0.05,4.0,3.252,3.0,3.3512,14,24
176302125,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.1735,0.05,4.0,3.2235,2.7,3.2741,15,28
176302148,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.0469,0.05,4.0,3.0969,3.0,3.25814,16,34
176302113,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.5143,0.056,4.0,3.5703,1.5,3.24218,17,7
176302112,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3122,0.05,4.0,3.3622,2.0,3.21732,18,18
176302123,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.2122,0.05,4.0,3.2622,2.3,3.21732,18,22
176302109,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3939,0.05,4.0,3.4439,3.3,3.52634,10,12
176302136,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.2122,0.05,4.0,3.2622,2.3,3.21732,18,22
176302131,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.149,0.05,4.0,3.199,2.3,3.1794,21,30
176302114,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3653,0.05,4.0,3.4153,1.5,3.14918,22,15
176302145,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,3.1551,0.05,4.0,3.2051,2.0,3.12306,23,29
176302105,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.4592,0.05,4.0,3.5092,1.0,3.10552,24,10
176302116,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.2673,0.05,4.0,3.3173,1.5,3.09038,25,20
176302117,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.4122,0.05,4.0,3.4622,1.0,3.07732,26,11
176302108,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.0735,0.03333,4.0,3.10683,2.0,3.064098,27,33
176302115,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3816,0.05,4.0,3.4316,1.0,3.05896,28,14
176302124,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.202,0.05,4.0,3.252,1.5,3.0512,29,24
176302106,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3408,0.05,4.0,3.3908,1.0,3.03448,30,16
176302104,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.3163,0.05,4.0,3.3663,1.0,3.01978,31,17
176302120,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.2939,0.05,4.0,3.3439,1.0,3.00634,32,19
176302103,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.2612,0.05,4.0,3.3112,1.0,2.98672,33,21
176302126,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.4531,0.05,4.0,2.5031,3.3,2.96186,34,39
176302119,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.198,0.0375,4.0,3.2355,1.0,2.9413,35,26
176302122,计算机工程学院,动漫制作技术,17动漫制作技术1,女,2017,3.1776,0.0525,4.0,3.2301,1.0,2.93806,36,27
176302143,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.9531,0.0525,4.0,3.0056,1.5,2.90336,37,36
176302132,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.4755,0.05,4.0,2.5255,2.7,2.8553,38,38
176302144,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.2735,0.055,4.0,2.3285,2.0,2.5971,39,41
176302129,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.5633,0.05,4.0,2.6133,1.0,2.56798,40,37
176302127,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.4082,0.05,3.7,2.4582,1.5,2.51492,41,40
176302134,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.0653,0.05,4.0,2.1153,2.0,2.46918,42,43
176302133,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,2.2571,0.0475,4.0,2.3046,1.0,2.38276,43,42
176302130,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,1.5878,0.0125,3.0,1.6003,3.7,2.30018,44,45
176302135,计算机工程学院,动漫制作技术,17动漫制作技术1,男,2017,1.6796,0.03,4.0,1.7096,1.5,2.12576,45,44
176302214,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.6204,0.05,4.0,3.6704,4.0,3.80224,1,4
176302215,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.7633,0.0575,4.0,3.8208,2.7,3.63248,2,1
176302248,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.2673,0.05,4.0,3.3173,4.0,3.59038,3,19
176302249,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.4082,0.05,4.0,3.4582,3.3,3.53492,4,10
176302232,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.4531,0.05,4.0,3.5031,3.0,3.50186,5,9
176302223,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.3163,0.05,4.0,3.3663,2.7,3.35978,6,15
176302217,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.7449,0.05,4.0,3.7949,1.0,3.27694,7,2
176302211,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.498,0.05,4.0,3.548,1.5,3.2288,8,6
176302216,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.6388,0.05,4.0,3.6888,1.0,3.21328,9,3
176302218,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.4673,0.05,4.0,3.5173,1.5,3.21038,10,7
176302209,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.602,0.0525,4.0,3.6545,1.0,3.1927,11,5
176302243,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.8878,0.05,4.0,2.9378,3.0,3.16268,12,35
176302212,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.3796,0.0575,4.0,3.4371,1.5,3.16226,13,11
176302219,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.2204,0.05,4.0,3.2704,2.0,3.16224,14,21
176302233,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.351,0.05,4.0,3.401,1.5,3.1406,15,14
176302238,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.0633,0.05,4.0,3.1133,2.3,3.12798,16,28
176302208,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.4612,0.05,4.0,3.5112,1.0,3.10672,17,8
176302222,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.2755,0.05,4.0,3.3255,1.5,3.0953,18,16
176302235,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.2735,0.05,4.0,3.3235,1.5,3.0941,19,17
176302239,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.3776,0.05,4.0,3.4276,1.0,3.05656,20,12
176302210,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.3633,0.05,4.0,3.4133,1.0,3.04798,21,13
176302220,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.1837,0.0575,4.0,3.2412,1.5,3.04472,22,24
176302225,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.151,0.045,4.0,3.196,1.5,3.0176,23,25
176302231,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.2653,0.0575,4.0,3.3228,1.0,2.99368,24,18
176302230,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.2449,0.05,4.0,3.2949,1.0,2.97694,25,20
176302245,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,2.6531,0.0375,4.0,2.6906,2.7,2.95436,26,42
176302241,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.2041,0.05,4.0,3.2541,1.0,2.95246,27,22
176302240,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.1959,0.05,4.0,3.2459,1.0,2.94754,28,23
176302244,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.0959,0.05,4.0,3.1459,1.0,2.88754,29,26
176302221,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,3.0898,0.05,4.0,3.1398,1.0,2.88388,30,27
176302224,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.0531,0.05333,4.0,3.10643,1.0,2.863858,31,29
176302202,计算机工程学院,动漫制作技术,17动漫制作技术2,女,2017,2.1551,0.05,4.0,2.2051,3.7,2.86306,32,48
176302236,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.0469,0.05,4.0,3.0969,1.0,2.85814,33,30
176302237,计算机工程学院,动漫制作技术,17动漫制作技术2,男,2017,3.0224,0.05,4.0,3.0724,1.0,2.84344,34,31
